ASFIS species (Name),FAO major fishing area (Name),Unit (Name),Unit,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S
Yellow jack,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,56,,24,
Atlantic chub mackerel,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",24699,,33222,,36521,,66009,,64923,,84863,,64199,,82070,,71094,,46139.39,,34634.55,
Atlantic fanfish,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.01,
Atlantic herring,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",1988665.23,,1571337,,1649912,,1597175,,1423620.1,,1318271,,1458849,,1665701,,1680077.3,,1612448.16,,1507419.17,
Atlantic horse mackerel,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",199686.81,,198892,,198998,,197492,,153996.83,,130185,,114416,,111927,,129307,,147663.3,,95113.31,
Atlantic mackerel,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",831892.29,,929675,,875857,,935408,,1382504.53,,1202640,,1088869,,1163112,,990859,,831826.15,,1018838.76,
Atlantic pomfret,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",9299.17,,13300,,13390,,4711,,903.02,,394,,36,,58,,10,,94.95,,24.35,
Atlantic saury,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",159,,796,,280,,334,,966,,1399,,917,,289,,620,,356.48,,508.48,
Barracudas nei,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",76,,88,,101,,68,,120,,94,,83,,59,,46,,57.22,,56.76,
Big-scale pomfret,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.01,
Big-scale sand smelt,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,5.16,
Blue butterfish,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,6.14,
Blue jack mackerel,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",4707,,5078,,0,...,3314,,3223,,3297,,28019,,4802,,4868,,3932.07,,4281.49,
Bluefish,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",51,,39,,36,,102,,76,,94,,177,,260,,222,,270.43,,245.38,
"Butterfishes, pomfrets nei","Atlantic, Northeast",Tonnes - live weight,"TLW, Number",110,,231,,78,,33,,34,,42,,51,,39,,29,,31.76,,24.92,
