ASFIS species (Name),FAO major fishing area (Name),Unit (Name),Unit,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S
Common dolphinfish,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",2165,,3425,,4839,,4966.83,,5560.91,,5804.45,,4189,,3102.1,,3382.1,,7120.46,,5741.56,
Dealfishes,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,
Dorab wolf-herring,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",2396,,1955,,2180,,810,,731,,850,,1306,,1977,,1536,,1189,,947.12,
False trevally,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",11735,,8922,,8297,,10235,,9377,,10433,,9719,,9591,E,10654.96,,10005.01,E,16000,E
Flyingfishes nei,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",7210,,7768,,7435,,10791,,7351,E,8326,,6894,,2980,,2244.84,,2665.13,,13940,
Goldstripe sardinella,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",66045,,59606,,28466,,26323,,27994,,33407,,19278,,25172.43,,20770,,28537.98,,38713.76,
Great barracuda,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",2579,,1976,,2416,,3958,,3961,,5008,,6400,,6046,,4504,,4527.03,,5871.55,
Greenback horse mackerel,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",273,,37,,26,,0,,0,,0,,0,,3535.84,,0,...,0.04,,11.75,
Halfbeaks nei,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",36430,,11459,,8575,,17740,,9428,,8016,,7903,,11850,,8675.69,,6259.99,,8265.33,
"Herrings, sardines nei","Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",0,...,0,...,0,,0,,0,,0,,0,,0,,0,,3800,,1600,
Indian mackerel,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",55729,,67360,,64768,,81299,,129082,E,134732,E,142993,,158014,,154729.15,,116645.39,,116429.73,
Indian mackerels nei,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",189730,,166069,,170856,,175143,,173687,,179841,,170857,,25451,,34086,,34597.02,,44598.62,
Indian oil sardine,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",57464,,59634,,82926,,77161,,109684,E,54667,E,50392,,69397,,31974.17,,29841.8,,57000,
Indian scad,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",47718,,36208,,39609,,36413,,43891,,60055,,93012,,58739,,63430,,54202.59,,66652.71,
Jack and horse mackerels nei,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,12810,E,13936,,18133,,17102.19,,16877.12,,48000,
"Jacks, crevalles nei","Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",28726,,46017,,47512,,46233,,52100,,44261,,45467,,82201,,98562.74,,95964.03,,54142.14,
Mackerels nei,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",26272,,31554,,36832,,39249,,35716.35,,30976.81,,36686.05,,112154,,136837,,132146.03,,135363.76,
Needlefishes nei,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",3243,,3372,,2070,,2584,,2914,,3610,,3713,,4000,E,3345,,4564.68,,5761.26,
"Needlefishes, etc. nei","Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",0,...,0,...,0,,0,,0,,0,,0,,0,,0,,270,,830,
Pelagic percomorphs nei,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Pickhandle barracuda,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",94,,25,,305,,332,,398,,787,,1002,,1000,E,1080,,501.49,,13.93,
Pompanos nei,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",15852,,6785,,1971,,1987,,0,...,0,,0,,0,,0,,0,,3000,
Queenfishes,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",4131,,5125,,5096,,9558,,6390,,5431,,5108,,4708,E,5897,,7422.45,,7360.81,
Quoy's garfish,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",0,...,0,...,0,,0,,0,,0,,0,,0,,0,,310,,160,
Rainbow runner,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",3672,,2945,,5576,,6381,,6272,,6997,,3160,,4178.91,,2192.53,,6330.04,,3828.39,
Rainbow sardine,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",3342,,3214,,3708,,4347,,4819,,3825,,2993,,1326.32,,3225,,8192.03,,7424.68,
Sardinellas nei,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",14918,,15791,,13897,,11456,,12786,,10974,,9274,,6833,,8198,,13388,,11144.52,
Scads nei,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",47723,,81399,,81939,,77578,,57063,,104131,,111757,E,121040,,202871.37,,211604.16,,129098.22,
Short mackerel,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",72467,,91318,,96981,,96181,,98398,,104027,,98193,,153363.82,,91646,,8617.39,,9723.04,
Silver pomfret,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",14973,,19565,,20043,,22165,,22178,,25900,,23751,,14556.2,,19095.38,,16476.61,,25077.52,
Spotted sardinella,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",628,,823,,13402,,10906,,11662,,3099,,3009,,4288.71,,3242,,8311.65,,6246.1,
Stolephorus anchovies nei,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",60411,,83134,,85784,,87739,,91310,,118693,,109254,,155383.73,,120407.93,,56887.19,,19738.15,
Sunfish,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,,0,,0,,0.12,,0,,0,,0,,0,
Torpedo scad,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",48987,,50807,,43327,,39652,,47603,,45600,,49703,,55295,,56437,,44149.72,,45495.61,
White trevally,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",249,,230,,197,,9.55,,4.98,,3.13,,1.93,,2.36,,4.18,,2.88,,1.54,
Wolf-herrings nei,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",29423,,16686,,26002,,33204,,19158,E,17145,E,17283,,19425.28,,16668.88,,16527.07,,12422.81,
Yellowstripe scad,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",66561,,66526,,66786,,65484,,71968,,25575,,22831,,37361,,36562.12,,40871.91,,30369.69,
Yellowtail amberjack,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",25,,56,,64,,3.88,,9.53,,2.87,,3.15,,1.38,,0.71,,0.24,,0.6,
Amberjacks nei,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",1391,,1344,,1336.57,,1403.44,,1639.03,,1859,,1637.57,,1524.06,,1502.06,,3503,,2417.68,
Anchovies nei,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",0,...,0,,0,,0,,0,,0,,0,,0,,2237,,2672,,2405,
"Anchovies, etc. nei","Indian Ocean, Western",Tonnes - live weight,"TLW, Number",80854,,83811,,79546,,85713,,102626,E,64096,E,63107,,63708,,80280.39,,78010.74,,67960.14,
Barracudas nei,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",35801,,37595,,37394.6,,39907.46,,40952.12,,48100.56,,49612.13,,54273.89,,64643.23,,62734.44,,56122.84,
"Barracudas, etc. nei","Indian Ocean, Western",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.19,
Bigeye scad,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",0,...,0,...,3.55,,40.93,,26.76,,10.37,,177.34,,88.96,,1.63,,18.24,,23.64,
Bigeye trevally,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",150,,150,,142,,154,,126,,147,,143,,140,E,132,,374.7,,202.15,
Black pomfret,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",11164,,7698,,8263,,10197,,7773,,12740,,13109,,15059,,15006,,14765,,14832,E
Blackbanded trevally,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",5,,2,,2,,3,,44,,42,E,42,E,42,E,42,E,42,E,42,E
Bluefin trevally,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",38,,38,,36,,35,,23,,38,,38,,40,E,32,,39,,28.75,
Bluefish,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,16,,15,E,15,E,0,...
Brilliant pomfret,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",0,...,0,...,2.54,,2.09,,20.49,,8.98,,12.53,,22.8,,13.49,,38.77,,24.2,
Buccaneer anchovy,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",3775,,1719,,338,,3058,,3408,,3110,,3152,,3339,,3066,,6660,,3254,
"Butterfishes, pomfrets nei","Indian Ocean, Western",Tonnes - live weight,"TLW, Number",24119,,26525,,29401,,23633,,25380,E,21233,E,22582,,23886,,21817.02,,24601.83,,51163,
Cape fathead,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",10,,3,,2,,0,,1,,0,,0,,8,,11,,30.17,,8.1,
Carangids nei,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",88714,,55960,,56237.69,,52323.18,,109337.35,E,28925.71,,34772.27,,33456.82,,39490.37,,38716.35,,42127.85,
Clupeoids nei,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",52608,,60143,,60514,,58539,,133623,E,152228.88,E,121375.09,,134450.27,,109963.58,,134113.92,,150566.06,
Cobia,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",6774,,6772,,7865.98,,8123.35,,8104.38,,9803.9,,9956.79,,11378.34,,11278.99,,11728.92,,11010.51,E
Common dolphinfish,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",4346,,4211.9,,5728.08,,6112.92,,7527.19,,8744.4,,10706.87,,13655.08,,14120.93,,15085.05,,14008.54,E
Dorab wolf-herring,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",1228,,1324,,1503,,1615,,2621,,2783,,1697,,1842,,3463,,2894,,2906,
Doublespotted queenfish,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",26,,27,,1101,,28,,125,,131,,121,,120,,122,,1100,,1380,
False trevally,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",10151,,5677,,7062,,11912,,5500,E,5600,E,5000,,3016,,6089.04,,3831.99,,12000,
Flat needlefish,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",41,,330,,30,,25,,30,,53,,27,,25,,24,,38,,65.1,
Flyingfishes nei,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",202,,96,,291,,313,,254,E,252,E,197,,77,,116.16,,113.87,,0,
Giant trevally,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",10557,,11414,,14142,,14691,,14724,,16890,,20598,,19102.06,,19964.25,,21148.63,,20097.25,E
Golden trevally,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",1187,,1300,,1470,,1694,,1905,,1782,,1578,,1485,E,1657,,1910,,1749.9,
Goldstripe sardinella,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Great barracuda,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",1262,,969,,948.88,,1149.62,,1173.28,,1199.96,,1219.43,,1214.11,E,1202.97,,1246.33,,1200.02,
Greater amberjack,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",4,,0,...,7,,65,,86,,82,E,82,E,82,E,82,E,123.5,E,144.6,E
Halfbeaks nei,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",2014,,2041,,3719,,5841,,3297,E,3366,E,3673,,5157,,5022.31,,3549.92,,2716.89,
Hound needlefish,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",226,,181,,182,,284,,348,,245,,272,,268,E,249,,246.41,,206.33,
Indian mackerel,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",91374,,137997,,105538,,122708.18,,187035.87,E,183980.54,E,194331.09,,220497.47,,226207,,163183.61,,211411.84,
Indian mackerels nei,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",273,E,287,,444,,390.58,E,485.96,,138.98,,129.5,,192.78,,78.22,,84.01,,3.69,
Indian oil sardine,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",372275,,444059,,477228,,473148,,632017,E,419341,E,417526,,532542,,554758.83,,548283.2,,663664.09,
Indian pompano,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",304,,522,,799,,708,,527,,362,,544,,612,,565,,949,,710,E
Indian scad,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",1076,,1429,,1511,,1359,,1264,,1293,,1284,,1280,E,1300,,1281,,1271.41,
Jack and horse mackerels nei,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",3857,E,2490,E,4011,E,4484,E,4162,E,26590,E,28470,,35934,,34010.81,,33590.94,,23103,
"Jacks, crevalles nei","Indian Ocean, Western",Tonnes - live weight,"TLW, Number",76668,,72178,,69821,,71738,,70008,E,80144,E,78791,,96243,,119749.26,,142993.36,,78324.18,
Live sharksucker,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",0,N,0,,0,N,0,N,3,,3,E,3,E,3,E,3,E,3,E,3,E
Longnose trevally,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",0,...,3884,,2332,,2500,,2500,,2600,,2450,,2250,,2400,,1760,,2425,
Mackerels nei,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Malabar trevally,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",359,,537,,398,,385,,298,,173,,299,,357,,219,,314,,213.57,
Needlefishes nei,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",739,,902,,731,,1184,,1185,,1286,,836,,1623,,1325,,1368,,873.1,
"Needlefishes, etc. nei","Indian Ocean, Western",Tonnes - live weight,"TLW, Number",3,,2,,0.01,,0,N,0,N,52.46,,196.86,,1825.6,,1980.1,E,2094.8,E,493.26,E
Needlescaled queenfish,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",262,,272,,257,,294,,263,,255,,223,,220,E,271,,266.01,,245.23,
Obtuse barracuda,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",159,,172,,169,,177,,169,,174,,179,,175,E,175,,172.06,,170.51,
Opah,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",0,...,0,...,0.04,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.1,
Orangespotted trevally,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",2199,,2492,,2936,,3215,,2937,,2970,,3115,,3340,,3249,,2943.2,,2856.23,
Pacific chub mackerel,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",121,,45,,840,,78,,35,,19,,52,,307,,180,,66.53,,1521.82,
Pacific sardine,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",0,,0,N,0,N,0,,0,,0,,0,,0,,0,,52.68,,0,...
Pelagic percomorphs nei,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",16780,E,10745,E,25709,E,44004,E,41967,E,35954,E,30947,E,24540,E,32162,E,40861,E,36793.13,E
Pickhandle barracuda,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",77,,73,,80,,97,,108,,115,,109,,108,E,108,,202.34,,169.72,
"Pomfrets, ocean breams nei","Indian Ocean, Western",Tonnes - live weight,"TLW, Number",1,E,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Pompanos nei,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",221,,257,,252,,254,,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Queenfishes,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",3772,,3884,,5446.44,,4251.28,,5753.05,,5516.06,,4663.43,,5775.08,,7358.88,,7028.53,,5115.35,
Rainbow runner,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",0,...,22,,21,,22,,20,,20,,82,,107,,105,,142.5,,194.06,E
Red-eye round herring,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Sardinellas nei,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",15928,,15815,,16503.77,,16196.83,,17225.96,,16789,,12735.84,,14371.28,,21002.14,,20859.73,,19957.87,
Sawtooth barracuda,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",23,,3,,27,,39,,6,,6,E,6,E,6,E,6,E,6,E,6,E
Scads nei,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",10475,,6020,,8108.88,,7120.85,,7833.47,,80231.76,E,78147.02,,79867.4,,93902.01,,58844.77,,47616.68,
Shrimp scad,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",200,,200,,232,,277,,282,,290,,295,,294,E,285,,280.2,,249.5,
Sickle pomfret,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.06,,0,...,0,...
Silver pomfret,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",2085,,2145,,2695,,2177,,3365,,2363,,2396,,2023,,2620,,2388,,2608,E
Silversides(=Sand smelts) nei,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",4,,0,,0,N,0,,0,,0,,0,,0,,0,...,0,...,0,...
Snubnose pompano,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",92,,30,,32,,79,,64,,70,,101,,105,E,61,,76,,53.02,
Stolephorus anchovies nei,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",0,...,525,,779,,750,,720,,38050,E,37050,,38939,,43566.07,,63134.44,,58800,
Talang queenfish,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",11374,,13693,,15404,,19082,,18637,,26208,,27768,,33258,,42769,,34797.07,,37015.4,E
Torpedo scad,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",3328,,3678,,3359,,3477,,3571,,3664,,4690,,4749,,4907,,3819.49,,3815.75,
Whitefin wolf-herring,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",8430,,6232,,6945,,7060,,8591,,9743,,6698,,8096,,7159,,7330,,7654.19,E
Wolf-herrings nei,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",9359,,10738,,9377,,11815,,6487,E,5137,E,5347,,5839,,4987.12,,5540.17,,6137,
Yellowspotted trevally,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",190,,190,,179,,218,,197,,180,,178,,180.01,E,196,,191,,174.01,
Yellowstripe scad,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Yellowtail amberjack,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",6,,21,,34,,6,,11,,7,,5,,547,,1,,0.42,,1.19,
Yellowtail scad,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",969,,1723,,1824,,1340,,961,,1106,,1078,,1435,E,1771,,1965,,1694.7,
Alexandria pompano,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,13.72,,1.23,
Amberjacks nei,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.01,
Atlantic chub mackerel,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",7546,,7785,,6967,,8533,,8470,,9555,,11440,,14152,,12269,,11154.97,,13522.54,
Atlantic horse mackerel,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",6818,,7599,,6794,,9394,,7044,,7113,,5967,,9439,,10890,,10374.84,,7953.29,
Atlantic mackerel,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",10196,,11359,,10489,,9693,,6965,,7564,,8719.86,,8505.13,,6913,,6655.12,,4982.08,E
Atlantic pomfret,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",36,,32,,74,,44,,57,,101,,56,,36,,42,,57.33,,204.22,
Atlantic saury,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",264,,151,,2072,,116,,175,,265,,183,,57,,1658,,84.11,,341.56,
Barracudas nei,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",2437,,1722,,1503,,1624,,1282,,1175,,1318.38,,1434.71,,1850,,1453.21,,1493.38,E
"Barracudas, etc. nei",Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,42.91,
Big-scale sand smelt,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",1096,,907,,514,,4060,,1783,,569,,403,,471,,765,,643.94,,360.7,
Black wing flyingfish,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.03,
Blue butterfish,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1,,0.77,
Blue jack mackerel,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,103.84,,40.42,
Blue runner,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1.8,,1.76,
Bluefish,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",5992,,4150,,8741,,6454,,10312,,5616,,11561,,3319.11,,7411,,2538.12,,5247.11,
Carangids nei,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",432,E,436,E,282,E,249,E,466,,215,,876,,1077,,689,,722.15,,910.69,
Clupeoids nei,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",7261,,8425,,8098,,7643,,7348,,7255,,2866.48,,1435.06,,1840,,352.25,,357.73,E
Common dolphinfish,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",3984,,2804,,2449,,2329,,1412,,2301,,2008,,1574,,1964,,1997.82,,1930.84,
Crevalle jack,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,11.48,,5.49,
Driftfish,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.02,
European anchovy,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",406430,,386156,,302063,,326199,,218979,,356797,,267955.39,,409938.39,,330596,,479472.95,,371845.35,
European barracuda,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",441,,395,,284,,230,,201,,197,,175,,182,,170,,159.75,,74.94,
European pilchard(=Sardine),Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",156105,,184103,,174962,,193783,,200696,,186485,,185774.28,,181164.67,,190248,,155666.85,,139576.18,
European sprat,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",92222,,120993,,35040,,29958,,56749,,109200,,79087,,54314,,38881,,62274.01,,48800.11,
False scad,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,47.34,,47.01,
Flyingfishes nei,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.01,,0.07,
Garfish,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",1046,,602,,758,,464,,613,,646,,605,,551,,621,,474.92,,679.78,
Greater amberjack,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",2520,,2090,,2008,,2205,,2381,,2297,,2455.09,,2626.24,,2323,,2551.97,,2475.71,
"Herrings, sardines nei",Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,6,,6,,0,N,0.24,,0.01,
Jack and horse mackerels nei,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",40842,,35938,,35584,,32949,,24471,,19429,,23055.27,,21864.45,,27823,,30999.32,,23559.91,
"Jacks, crevalles nei",Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",18,,19,E,14,E,13,E,94,,72,,109,,108,,115,,112,,117.5,
Leerfish,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",1142,,777,,476,,612,,443,,585,,531.03,,425.04,,517,,484.73,,398.51,
Lesser amberjack,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.13,
Mackerels nei,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",204,E,154,E,102,E,1530,,276,,133,,100,,205,,125,,33.6,,88.56,
Mediterranean flyingfish,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,17.91,,7.79,
Mediterranean horse mackerel,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",18501,,22292,,29295,,27461,,17359,,19512,,13544,,12761.2,,18325.65,,17268.32,,11481.01,
Mediterranean sand smelt,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,...,13,,6,,83,,6,,5,,8,,11,,5,,3,,2.15,
Obtuse barracuda,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,
Ocean sunfish,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.01,
Pelagic percomorphs nei,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.1,
Pilotfish,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",70,,59,,32,,30,,106,,84,,170,,152,,200,,97.54,,43.8,
Pompano,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",89,,74,,88,,41,,42,,150,,117,,71,,67,,70.46,,81.48,
Pompano dolphinfish,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,13,,0,...
Red-eye round herring,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,3,,1,,11,,3,,638,,13,,48.85,,225.26,E
Round sardinella,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",10287,E,6015,E,7061,E,7337,E,5114,E,4914,E,7075,E,8824,E,8538,E,17222.03,,13359.23,
Sardinellas nei,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",41257,,44327,,49115,,42851,,43116,,41512,,45074.98,,44842.02,,46618,,46335.21,,48491.82,
Scomber mackerels nei,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",126,,94,,48,E,56,E,52,E,65,,58,E,65,,287,,2590.15,,239.76,
Shrimp scad,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",34,,43,,44,,17,,17,E,17,E,15,,13,E,15,E,13.06,E,13.01,E
Silversides(=Sand smelts) nei,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",2394,,2449,,1659,,1373,,1003,,922,,1412,,1136,,1190,,795.92,,710.08,
