Country (Name),ASFIS species (Name),Unit (Name),Unit,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S
Middle Africa,Atlantic chub mackerel,Tonnes - live weight,"TLW, Number",10364,E,10226,E,10365,E,10411,E,10554,,36588,,46087,,10154,E,15281,E,26845,,31153.14,
Eastern Africa,Atlantic chub mackerel,Tonnes - live weight,"TLW, Number",3328,,538,,588,,2933,,0,,0,,0,,0,,0,,0,,0,
Melanesia,Atlantic chub mackerel,Tonnes - live weight,"TLW, Number",0,,239,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Southern Europe,Atlantic chub mackerel,Tonnes - live weight,"TLW, Number",30017,,37633,,39832,,71459,,71256,,92104,,71574,,91433,,80595,,52931.53,,42084.18,
Western Europe,Atlantic chub mackerel,Tonnes - live weight,"TLW, Number",23595,,19150,,1844,,1812,,6971,,5817,,7474,,2528,,961,,7906,,12745.75,
Northern Europe,Atlantic chub mackerel,Tonnes - live weight,"TLW, Number",22895,,25735,,11618,,23886,,33945,,18477,,29024,,19675,,12991,,29154.77,,21732.54,
Eastern Europe,Atlantic chub mackerel,Tonnes - live weight,"TLW, Number",46460,,64164,,19871,,57260,,36941,,52351,,57354,,78261,,67615,,68590,,16423,
Central America,Atlantic chub mackerel,Tonnes - live weight,"TLW, Number",37335,,23049,,11395,,1915,,10383,,16724,,12801,,30042,,65123,,59078.91,,51412.86,E
South America,Atlantic chub mackerel,Tonnes - live weight,"TLW, Number",32682,,33327,,26715,,23502,,13966,,24260,,18529,,15385,,12050,E,14720,,20127.14,
Caribbean,Atlantic chub mackerel,Tonnes - live weight,"TLW, Number",7422,,7938,,2981,,8120,,24971,,25843,,12859,,27559,,0,,0,...,0,...
Northern America,Atlantic chub mackerel,Tonnes - live weight,"TLW, Number",80,,81,,29,,1923,,610,,681,,279,,41,,26,,26,,26,
Western Asia,Atlantic chub mackerel,Tonnes - live weight,"TLW, Number",2573,,3330,,2300,,2712,,1818,,1671,,5012,,13420.91,,38379,,51814.38,,47432.08,E
Others,Atlantic chub mackerel,Tonnes - live weight,"TLW, Number",0,,0,,0,,563,,0,...,70,,0,,0,,0,...,0,...,0,...
Southern Europe,Atlantic fanfish,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.01,
South America,Atlantic fanfish,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,1,,0,,1,,1,,2,,0,...
Western Africa,Atlantic flyingfish,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,335,,137,
Others,Atlantic herring,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Eastern Asia,Atlantic herring,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Eastern Europe,Atlantic herring,Tonnes - live weight,"TLW, Number",233626,,182253,,158806,,112186,,104363,,106461,,118072,,157117,,141941,,154149,,140378.17,
Caribbean,Atlantic herring,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Northern America,Atlantic herring,Tonnes - live weight,"TLW, Number",220911,,217559,,203550,,231718,,219475,,206306,,201209,,162684,,145684,,88152,,94449.3,
Southern Europe,Atlantic herring,Tonnes - live weight,"TLW, Number",88,,54,,2,,0,N,0,,0,,0,,0,,0,N,0.01,,0,...
Western Europe,Atlantic herring,Tonnes - live weight,"TLW, Number",97242,,95372,,160681,,190015,,169656,,190820,,205022,,183140,,216481,,157384,,134336.61,
Northern Europe,Atlantic herring,Tonnes - live weight,"TLW, Number",1652945.23,,1290718,,1327841,,1282841,,1136420.1,,1008416,,1115647,,1312586,,1318765.3,,1297491.15,,1229280.18,
Eastern Asia,Atlantic horse mackerel,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Western Africa,Atlantic horse mackerel,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,94,,88,
Eastern Europe,Atlantic horse mackerel,Tonnes - live weight,"TLW, Number",0,,0,,1251,,41,,100,,135,,0,,18,,0,,123,,989,
Western Asia,Atlantic horse mackerel,Tonnes - live weight,"TLW, Number",6214,,7048,,6423,,6703,,4202,,2462,,2375,,4994,,6531,,6400,,4929.5,
Southern Europe,Atlantic horse mackerel,Tonnes - live weight,"TLW, Number",12434,,10979,,21194,,43141,,39247,,38175,,20063,,40819,,45018,,54697.07,,50479.49,
Western Europe,Atlantic horse mackerel,Tonnes - live weight,"TLW, Number",107477,,104641,,104717,,95169,,50938,,52341,,45663,,29239,,38434,,40090,,19801.41,
Northern Europe,Atlantic horse mackerel,Tonnes - live weight,"TLW, Number",80379.81,,83831,,72572,,61856,,66571.83,,44185,,52435,,47505,,50275,,82547.35,,52614.26,
Others,Atlantic horse mackerel,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Western Europe,Atlantic mackerel,Tonnes - live weight,"TLW, Number",57520,,70086,,65590,,61410,,97787,,103304,,81617,,91764,,71652,,57674,,75686.58,
Northern Europe,Atlantic mackerel,Tonnes - live weight,"TLW, Number",690714.29,,770083,,707690,,721140,,1045778.53,,905334,,816096,,850740,,698848,,589219.76,,743865.48,
Southern Europe,Atlantic mackerel,Tonnes - live weight,"TLW, Number",30227,,21359,,28746,,23521,,47158,,42969,,36402,,40695,,37386,,27490.54,,40480.64,
Caribbean,Atlantic mackerel,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Eastern Europe,Atlantic mackerel,Tonnes - live weight,"TLW, Number",59388,,73604,,91371,,107338,,138036,,155107,,151064,,168703,,151719,,151302,,143064,
Central America,Atlantic mackerel,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Northern America,Atlantic mackerel,Tonnes - live weight,"TLW, Number",48588,,12121,,17078,,65484,,90750,,35028,,49075,,63056,,83274,,39710,,42414.3,
Western Asia,Atlantic mackerel,Tonnes - live weight,"TLW, Number",464,,377,E,376,,273,E,186,E,231,E,212,E,868,,509,,326.51,,312.84,
Northern Africa,Atlantic mackerel,Tonnes - live weight,"TLW, Number",3851,,5463,,4073,,5155,,3780,,4669,,5928.86,,2763.13,,3289,,3225.86,E,2895.35,E
Eastern Asia,Atlantic mackerel,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Others,Atlantic mackerel,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Western Europe,Atlantic menhaden,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,2,,0,,0,,0,...
Northern America,Atlantic menhaden,Tonnes - live weight,"TLW, Number",229572,,227072,,224460,,167580,,174032,,200163,,168790,,180072,,188317,,198200,,178196,
Eastern Europe,Atlantic menhaden,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Eastern Asia,Atlantic menhaden,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Northern America,Atlantic moonfish,Tonnes - live weight,"TLW, Number",7,,5,,14,,18,,21,,25,,23,,13,,18,,15,,6,
Caribbean,Atlantic moonfish,Tonnes - live weight,"TLW, Number",0.25,,0.45,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.05,
South America,Atlantic moonfish,Tonnes - live weight,"TLW, Number",3046,,2399,,2865,,2568,,2929,,2368,E,2444,E,2460,E,2460,E,2460,E,2460,E
Eastern Europe,Atlantic moonfish,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,2,,2425,,0,,0,...,0,...
Northern America,Atlantic needlefish,Tonnes - live weight,"TLW, Number",6,,11,,10,,7,,9,,8,,6,,5,,6,,5,,5,
Eastern Europe,Atlantic pomfret,Tonnes - live weight,"TLW, Number",352,,482,,561,,257,,382,,812,,2276,,3648,,3896,,4428,,5221,
South America,Atlantic pomfret,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Western Asia,Atlantic pomfret,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Australia and New Zealand,Atlantic pomfret,Tonnes - live weight,"TLW, Number",117,,140,,150,,847,,658,,169,,125,,109,,273,,147,,211.64,
Southern Europe,Atlantic pomfret,Tonnes - live weight,"TLW, Number",9923,,15047,,13669,,7690,,2943,,2342,,3200,,2925,,2148,,3079.61,,2515.11,
Western Europe,Atlantic pomfret,Tonnes - live weight,"TLW, Number",718,,37,,13,,6,,8,,27,,30,,474,,4,,20,,3.27,
Northern Europe,Atlantic pomfret,Tonnes - live weight,"TLW, Number",912.17,,396,,16,,1266,,243.02,,0,,204,,228,,33.23,,2343.89,,440,
Southern Africa,Atlantic pomfret,Tonnes - live weight,"TLW, Number",1035,,1829,,2612,,6113,,5459,,4980,,4497,,3425,,1794,,683.9,,677.88,
Others,Atlantic pomfret,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Others,Atlantic saury,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Western Europe,Atlantic saury,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Southern Europe,Atlantic saury,Tonnes - live weight,"TLW, Number",423,,947,,2352,,450,,1141,,1664,,1108,,346,,2278,,440.59,,850.04,
South America,Atlantic saury,Tonnes - live weight,"TLW, Number",7013,,4681,,12977,,8097,,419,,3375,,244,,19,,69,,0,...,133,
Northern America,Atlantic silverside,Tonnes - live weight,"TLW, Number",693,,320,,432,,462,,459,,264,,214,,189,,207,,146,,192,
Others,Atlantic thread herring,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Caribbean,Atlantic thread herring,Tonnes - live weight,"TLW, Number",1744,,1660,,1720,,1677,,1368,,1806,,1861,,1506.14,,1671.1,,1177.6,,1463.75,
South America,Atlantic thread herring,Tonnes - live weight,"TLW, Number",11710,,8154,,9666,,8012,,9206,,8281,E,8449,E,8999,E,8479,E,8739.32,E,8693.64,E
Eastern Europe,Atlantic thread herring,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Northern America,Atlantic thread herring,Tonnes - live weight,"TLW, Number",533,,419,,1232,,760,,1023,,642,,1126,,1280,,1047,,2233,,863,
Caribbean,Balao halfbeak,Tonnes - live weight,"TLW, Number",71,,48,,65,,77,,43,,43,E,92,,31,,49,,52.74,,47.73,
South-Eastern Asia,Bali sardinella,Tonnes - live weight,"TLW, Number",71611,,32475,,45807,,45740,,53895,,68102,,40069,,39681.83,,298593.6,,349751.76,,402360.94,
Caribbean,Ballyhoo halfbeak,Tonnes - live weight,"TLW, Number",7.54,,17.23,,20.28,,24.12,,25.77,,28.58,,26.47,,18.43,,19.44,,21.73,,19.36,
South America,Ballyhoo halfbeak,Tonnes - live weight,"TLW, Number",1136,,1057,,1150,,993,,1198,,1080,E,1080,E,1080,E,1080,E,1080,E,1080,E
Northern America,Ballyhoo halfbeak,Tonnes - live weight,"TLW, Number",502,,460,,364,,441,,349,,426,,516,,662,,407,,596,,490,
Western Africa,Ballyhoo halfbeak,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,410,,361,
Northern America,Banded rudderfish,Tonnes - live weight,"TLW, Number",25,,49,,46,,40,,30,,33,,25,,17,,13,,19,,13,
South America,Bar jack,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,1620,,1670,E,1670,E,1670,E,1670,E
Caribbean,Bar jack,Tonnes - live weight,"TLW, Number",6.08,,11.16,,13.99,,15.94,,16.77,,14.47,,10.32,,9.94,,11.24,,15.29,,21.27,
Northern America,Bar jack,Tonnes - live weight,"TLW, Number",18,,31,,39,,42,,31,,30,,35,,23,,23,,73,,24,
Western Africa,Barracudas nei,Tonnes - live weight,"TLW, Number",32030,,30381,,33030.3,,37507,,35157.69,,38733,,45906,,47178,,40541.48,,31026.12,,34479.12,
Eastern Asia,Barracudas nei,Tonnes - live weight,"TLW, Number",431,,439,,760,,1705,,1149,,1103,,766,,470,,522,,290.29,,381.62,
Northern Africa,Barracudas nei,Tonnes - live weight,"TLW, Number",2458,,2055,,2181,,2574,,3128,,2579,,2411.38,,2582.71,,3045,,2224.55,,2105.78,
Middle Africa,Barracudas nei,Tonnes - live weight,"TLW, Number",5575,E,6546,E,8110,,9417,,11336,,9607,,10882,,13310,,10705,,10136.39,,9615.61,E
Eastern Africa,Barracudas nei,Tonnes - live weight,"TLW, Number",3573,,3385,,3541.6,,4323.46,,3690.12,,4451.56,,4658.13,,4838.89,,5369.1,,6424.22,,5564.44,
