Country (Name),ASFIS species (Name),Unit (Name),Unit,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S
South America,Cobia,Tonnes - live weight,"TLW, Number",923,,859,,935,,807,,974,,880,E,929,E,930,E,930,E,930,E,930,E
Eastern Europe,Cobia,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Central America,Cobia,Tonnes - live weight,"TLW, Number",487,,101,,290,,527,,471,,324,,323,,360,,362,,380,,362.52,
South-Eastern Asia,Cobia,Tonnes - live weight,"TLW, Number",4376,,4463,,3633,,4084,,3661,,3376,,3063,,3438,,2995,,2593.43,,1642.97,
Southern Asia,Cobia,Tonnes - live weight,"TLW, Number",4284,,4449,,5728,,5913,,5903,,7533,,7743,,9175,,8957,,8532,,9219,E
Northern America,Cobia,Tonnes - live weight,"TLW, Number",113,,124,,83,,94,,105,,98,,95,,79,,57,,64,,59,
Western Asia,Cobia,Tonnes - live weight,"TLW, Number",1601,,1461,,1272,,1312,,1126,,1047,,1020,,1013,E,1005,,929.42,,963.64,
Southern Europe,Cobia,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,2,,0,N,0,N,0,,0.05,,0,...
Others,Cobia,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Northern Europe,Common dolphinfish,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,3,,2,,3,,1,
Western Europe,Common dolphinfish,Tonnes - live weight,"TLW, Number",819,,1738,,1371,,1475,,1474,,1578,,4,,461,,1196,,1442.5,,73.34,
Southern Europe,Common dolphinfish,Tonnes - live weight,"TLW, Number",2635,,2131,,1548,,1729,,1376,,1955,,1563,,1070,,1263,,1338.94,,1301.74,
Australia and New Zealand,Common dolphinfish,Tonnes - live weight,"TLW, Number",200,,349,,89,,1,,7,,1,,1,,0,,0,,0,,0,...
Micronesia,Common dolphinfish,Tonnes - live weight,"TLW, Number",70.61,,33.12,,22.08,,60.89,,31.18,,20.37,,13.59,,13.56,,13.37,,28.32,,12.79,
Polynesia,Common dolphinfish,Tonnes - live weight,"TLW, Number",717.36,,499.45,,549.96,,751.81,,860.32,,454.11,,393.67,,394.99,E,394.93,E,392.54,E,392.13,E
Southern Asia,Common dolphinfish,Tonnes - live weight,"TLW, Number",4036,,3324,,5213,,6885.83,,9335.8,,10489.66,,10314.8,,14064.3,,13870.1,,15020,,13715.37,E
South-Eastern Asia,Common dolphinfish,Tonnes - live weight,"TLW, Number",7115,,8718,,9875,,9718,,12045,,16712,,13465,,12696,E,15141,,20033.06,,18495.35,
Western Asia,Common dolphinfish,Tonnes - live weight,"TLW, Number",2,,179,,28,,3,,0,...,0,...,18,,2,,2,,8.67,,0.76,
Northern America,Common dolphinfish,Tonnes - live weight,"TLW, Number",1046,,1065,,1243,,1100,,1411,,1078,,998,,768,,717,,794,,400.3,
Caribbean,Common dolphinfish,Tonnes - live weight,"TLW, Number",2211.67,,2825.09,,2580.31,,2448.14,,1960.79,,2372.77,,2625.61,,2537.75,,2347.78,,2475.06,,2095.54,
South America,Common dolphinfish,Tonnes - live weight,"TLW, Number",69388,,59381,,77511.78,,67463.62,,69174.5,,75845.07,,48991.43,,44957.83,,65587.86,,45028.85,,54320.93,
Central America,Common dolphinfish,Tonnes - live weight,"TLW, Number",3027,,2814,,3572,,4090,,4710,,3836,E,1391.69,,4204.62,,7201.82,,3236.36,,2283.65,
Eastern Europe,Common dolphinfish,Tonnes - live weight,"TLW, Number",28,,16,,6,,0,,4,,0,,0,,3,,1,,11,,23,
Eastern Africa,Common dolphinfish,Tonnes - live weight,"TLW, Number",274,,577.9,,382.08,,296.92,,503.3,,315.19,,1105.07,,536.88,,574.93,,497.54,,401.88,
Middle Africa,Common dolphinfish,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,140,,87,,80,E,75,E,70.21,,77.36,
Northern Africa,Common dolphinfish,Tonnes - live weight,"TLW, Number",1427,,854,,1080,,1078,,592,,707,,628,,722,,865,,830,,805,E
Southern Africa,Common dolphinfish,Tonnes - live weight,"TLW, Number",7,,24,,19,,12,,11,,9,,1,,2,,0,,5.65,,5.81,
Western Africa,Common dolphinfish,Tonnes - live weight,"TLW, Number",331,,208,,443,,370,,761.29,,436.19,,374.48,,1838.8,,4773.1,,2236.67,,353.35,E
Eastern Asia,Common dolphinfish,Tonnes - live weight,"TLW, Number",9115,,7506,,10756,,9632,,11705,,9206,,13423,,11163,,9854,,10883.73,,6565.87,
Others,Common dolphinfish,Tonnes - live weight,"TLW, Number",0,,0,,0,,3,,4,,4,,0,,0,,0,,0,,0,...
Polynesia,Cottonmouth jack,Tonnes - live weight,"TLW, Number",0,...,0,...,0,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Eastern Europe,Crevalle jack,Tonnes - live weight,"TLW, Number",0,,443,,75,,276,,241,,18,,113,,0,,65,,8,,37,
Caribbean,Crevalle jack,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0.1,,0.72,,0.17,,0,...,0,...,0,...,0.02,,0,...
South America,Crevalle jack,Tonnes - live weight,"TLW, Number",0,...,0,...,37.71,,21.34,,15.53,,28.41,,2450.82,,2530.35,E,2523.52,E,3313.58,E,3452.13,E
Northern America,Crevalle jack,Tonnes - live weight,"TLW, Number",281,,144,,201,,276,,338,,315,,320,,333,,297,,251,,275,
Southern Europe,Crevalle jack,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,2,,7,,0,...,2,,2,,22.79,,7.49,
Western Africa,Crevalle jack,Tonnes - live weight,"TLW, Number",8196,,12768,,12205.4,,10776,,24089.22,,17655,,16919,,6400,,4816.1,,9634.63,,4394.05,
Middle Africa,Crevalle jack,Tonnes - live weight,"TLW, Number",121,,100,E,75,E,50,E,25,E,7,,971,,745,,659,E,648.15,E,801.47,E
Caribbean,Cunene horse mackerel,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Central America,Cunene horse mackerel,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Eastern Europe,Cunene horse mackerel,Tonnes - live weight,"TLW, Number",0,,0,,8974,,5773,,1309,,1642,,80,,21682,,1908,,0,...,0,...
Northern Europe,Cunene horse mackerel,Tonnes - live weight,"TLW, Number",0,...,0,...,14701,,35082,,43670,,2588,,0,...,0,,0,,0,...,0,...
Western Europe,Cunene horse mackerel,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Southern Europe,Cunene horse mackerel,Tonnes - live weight,"TLW, Number",0,,0,,0,,99,,449,,591,,177,,247,,175,,172.86,,249.48,
Melanesia,Cunene horse mackerel,Tonnes - live weight,"TLW, Number",0,,2314,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Middle Africa,Cunene horse mackerel,Tonnes - live weight,"TLW, Number",30252,E,45045,E,60272,E,75425,E,94629,,74868,,54226,,70950,,37622,,64674,,71451,
Western Africa,Cunene horse mackerel,Tonnes - live weight,"TLW, Number",2687,E,3368,E,3289.72,E,3585,E,3339.81,E,4265,E,4055,E,11867,,19497.2,,13595.9,,5984.45,
Eastern Asia,Cunene horse mackerel,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...,0,...
Others,Cunene horse mackerel,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Northern America,Dealfish,Tonnes - live weight,"TLW, Number",8,,0,...,1,,0,...,0,...,0,...,0,...,0,...,0,...,0,N,0,N
Southern Europe,Dealfish,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Northern Europe,Dealfish,Tonnes - live weight,"TLW, Number",145,,0,,11,,64,,13,,57,,0,,0,,0,,0,...,0.43,
Australia and New Zealand,Dealfishes,Tonnes - live weight,"TLW, Number",3,,2,,5,,4,,2,,3,,2,,6,,7,,0,...,0,...
Southern Europe,Dealfishes,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.09,
Eastern Europe,Dealfishes,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Eastern Asia,Dorab wolf-herring,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
South-Eastern Asia,Dorab wolf-herring,Tonnes - live weight,"TLW, Number",5693,,4836,,4969,,3178,,3274,,3119,,6100,,7391,,4510,,4604,,4150.62,
Southern Asia,Dorab wolf-herring,Tonnes - live weight,"TLW, Number",1228,,1324,,1503,,1615,,2621,,2783,,1697,,1842,,3463,,2894,,2906,
Western Asia,Dorab wolf-herring,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Western Asia,Doublespotted queenfish,Tonnes - live weight,"TLW, Number",26,,27,,1101,,28,,125,,131,,121,,120,,122,,1100,,1380,
Northern America,Doublespotted queenfish,Tonnes - live weight,"TLW, Number",0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N
Polynesia,Doublespotted queenfish,Tonnes - live weight,"TLW, Number",0,...,0,,0,...,0,,0,...,0,...,0.01,,0,...,0,...,0,...,0.01,
Southern Europe,Driftfish,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.02,
Western Africa,European anchovy,Tonnes - live weight,"TLW, Number",55502,,73731,,83704.53,,20829,,16096.46,,15927,,26913,,49792,,81169.75,,54705.07,,51912.29,
Eastern Asia,European anchovy,Tonnes - live weight,"TLW, Number",0,,68,,1749,,0,...,0,...,2,,0,...,0,...,0,...,0,...,0,...
Northern Africa,European anchovy,Tonnes - live weight,"TLW, Number",35927,,46415,,56732,,40194,,24741,,34328,,33498.39,,28461.85,,36357,,38125.8,,64284.39,
Middle Africa,European anchovy,Tonnes - live weight,"TLW, Number",0,...,0,,0,,0,,45,,0,,283,,128,,0,,0,,0,
Eastern Africa,European anchovy,Tonnes - live weight,"TLW, Number",4098,,1250,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Central America,European anchovy,Tonnes - live weight,"TLW, Number",31956,,29245,,11365,,18,,10,,223,,0,...,0,...,267,,131.52,,200,E
Eastern Europe,European anchovy,Tonnes - live weight,"TLW, Number",50686,,59625,,55778,,61777,,22563,,47097,,51078,,52282,,37489,,33244.42,,32885.18,
Caribbean,European anchovy,Tonnes - live weight,"TLW, Number",16444,,24378,,5363,,2292,,152,,351,,0,,192,,0,,0,...,0,...
Western Asia,European anchovy,Tonnes - live weight,"TLW, Number",269842,,254411,,174997,,194121,,114441,,214996,,128558,,257922.67,,186563,,353136.73,,261778.74,
Southern Europe,European anchovy,Tonnes - live weight,"TLW, Number",102380,,100393,,89347,,85481,,96700,,116739,,111489,,123414,,132534,,112743.48,,99200.1,
Northern Europe,European anchovy,Tonnes - live weight,"TLW, Number",8736,,11062,,4563,,1105,,820,,5804,,498,,12199,,490,,361.05,,3186.95,
Western Europe,European anchovy,Tonnes - live weight,"TLW, Number",12495,,6540,,9019,,5382,,6498,,7851,,3987,,4783,,4372,,3079,,1304.44,
Others,European anchovy,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,360,,0,...,0,...,0,...,0,...,0,...
Southern Europe,European barracuda,Tonnes - live weight,"TLW, Number",439,,392,,283,,229,,200,,196,,174,,179,,168,,157.75,,78.99,
Western Europe,European barracuda,Tonnes - live weight,"TLW, Number",2,,3,,1,,1,,1,,1,,1,,3,,2,,2,,1.84,
Others,European pilchard(=Sardine),Tonnes - live weight,"TLW, Number",0,,0,,0,,607,,0,...,8409,,33,,0,,0,...,0,...,0,...
Eastern Asia,European pilchard(=Sardine),Tonnes - live weight,"TLW, Number",2551,,11025,,7180,,744,,9726,,5799,,2982,,0,...,0,...,0,...,0,...
Western Africa,European pilchard(=Sardine),Tonnes - live weight,"TLW, Number",16674,,27955,,11405,,1491,,1598,,15004,,6584,,157994,,324966.84,,235803.27,E,222976.5,E
Northern Africa,European pilchard(=Sardine),Tonnes - live weight,"TLW, Number",817125,,559472,,725286,,762516,,906396,,900702,,967066.28,,997498.67,,1013935,,1007201.21,,875483.13,
Eastern Africa,European pilchard(=Sardine),Tonnes - live weight,"TLW, Number",4222,,976,,389,,0,,0,,0,,0,,0,,0,,0,,0,
Southern Europe,European pilchard(=Sardine),Tonnes - live weight,"TLW, Number",163205,,173816,,154068,,155990,,157621,,137556,,141001,,126118,,121325,,110330.77,,111766.18,
Western Europe,European pilchard(=Sardine),Tonnes - live weight,"TLW, Number",73539,,84366,,57870,,32303,,80480,,53107,,79423,,76887,,65352,,52771,,62626.79,
Northern Europe,European pilchard(=Sardine),Tonnes - live weight,"TLW, Number",59329,,49238,,19832,,8716,,17461.4,,9408,,26042,,10283,,9470,,18744.71,,13071.72,
Eastern Europe,European pilchard(=Sardine),Tonnes - live weight,"TLW, Number",58099,,47932,,5799,,7140,,20725,,26283,,23856,,31263,,36512,,36836,,12199,
Central America,European pilchard(=Sardine),Tonnes - live weight,"TLW, Number",14402,,29849,,4514,,2820,,425,,1565,,7853,,2348,,5827,,4980.56,,4385,E
Caribbean,European pilchard(=Sardine),Tonnes - live weight,"TLW, Number",7349,,17821,,6535,,6849,,1221,,1812,,4266,,5850,,0,,0,...,0,...
Western Asia,European pilchard(=Sardine),Tonnes - live weight,"TLW, Number",29461,,34711,,28251,,23921,,18078,,16693,,19628,,26017.92,,26538,,29437.48,,28126.18,
Western Asia,European sprat,Tonnes - live weight,"TLW, Number",57023,,87141,,12093,,9765,,41649,,76997,,50225,,33950,,20057,,38078,,26803.8,
Eastern Europe,European sprat,Tonnes - live weight,"TLW, Number",119557,,109514,,111407,,123735,,96834,,126888,,123183,,128814,,134042,,139565.49,,128954.38,
Southern Europe,European sprat,Tonnes - live weight,"TLW, Number",568,,286,,342,,341,,303,,182,,236,,204,,304,,271.62,,113.01,
Northern Europe,European sprat,Tonnes - live weight,"TLW, Number",430169.03,,341509,,268878,,247550,,341318.62,,455602,,392391,,298596,,363768.14,,344920.57,,332047.1,
Western Europe,European sprat,Tonnes - live weight,"TLW, Number",23021,,20891,,15812,,13042,,14534,,17381,,18531,,10519,,21336,,18293,,20836.83,
Others,European sprat,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
South America,Falkland sprat,Tonnes - live weight,"TLW, Number",20173,,17826,,23846,,27226,,27255,,31428,,23656,,19293,,9047,,12589,,16889,
Eastern Europe,Falkland sprat,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Southern Europe,Falkland sprat,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,110,,0,,0,,0,,0,...,0,...
Middle Africa,False scad,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Eastern Africa,False scad,Tonnes - live weight,"TLW, Number",8765,,5245,,5700,,5837,,0,,0,,0,,0,,0,,0,,0,
Western Africa,False scad,Tonnes - live weight,"TLW, Number",906,,2090,,1948.46,,3682,,9384.98,,6073,,2997,,12308,,13671.6,,5867.94,,7510.45,
Eastern Europe,False scad,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Southern Europe,False scad,Tonnes - live weight,"TLW, Number",3,,0,...,48,,31,,84,,17,,511,,352,,32,,62.6,,74.16,
Northern Europe,False scad,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Western Europe,False scad,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,44,,0,,0,,0,,0,N,0,...,0,,0,...
Southern Asia,False trevally,Tonnes - live weight,"TLW, Number",13319,,9687,,8989,,15163,,6921,E,7062,E,6312,,3807,,7686,,4837,,19000,
South-Eastern Asia,False trevally,Tonnes - live weight,"TLW, Number",34641,,31363,,27491,,27430,,30368,,24828,,22369,,19021.81,,23931,,9712.96,E,9474.75,E
Western Africa,Flat needlefish,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,88,,90,E
Western Asia,Flat needlefish,Tonnes - live weight,"TLW, Number",41,,330,,30,,25,,30,,53,,27,,25,,24,,38,,65.1,
Caribbean,Florida pompano,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.02,,0,...,0.19,,0.21,
Northern America,Florida pompano,Tonnes - live weight,"TLW, Number",126,,102,,104,,113,,92,,84,,166,,102,,123,,182,,105,
Southern Europe,Flyingfishes nei,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.34,
Australia and New Zealand,Flyingfishes nei,Tonnes - live weight,"TLW, Number",3,,1,,0,,0,,0,,0,,1,,0,,0,,0,,0,...
Polynesia,Flyingfishes nei,Tonnes - live weight,"TLW, Number",53,,58,,42,,80,,25,,25,,31,,28,E,28,E,28,E,28,E
Micronesia,Flyingfishes nei,Tonnes - live weight,"TLW, Number",5,,144,,69,,230,E,447,,450,E,470,E,450,E,450,E,450,E,450,E
Western Asia,Flyingfishes nei,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.01,,0.03,
Northern America,Flyingfishes nei,Tonnes - live weight,"TLW, Number",0,...,24,,0,N,0,N,0,...,0,...,0,...,4,,0,...,0,...,0,...
Southern Asia,Flyingfishes nei,Tonnes - live weight,"TLW, Number",5224,,4997,,4870,,5238,,4004,E,4402,E,3427,,1345,,2029,,1989,,13000,
South-Eastern Asia,Flyingfishes nei,Tonnes - live weight,"TLW, Number",37276,,37157,,34275,,36503,,36286,,40289,,42464,,26293,,27108,,27284,,25689.42,
Eastern Europe,Flyingfishes nei,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Caribbean,Flyingfishes nei,Tonnes - live weight,"TLW, Number",2641,,1022,,385.01,,2110.78,,1553.28,,427,,522.87,,803.3,E,813.53,,801.16,E,812.47,E
South America,Flyingfishes nei,Tonnes - live weight,"TLW, Number",3732,,6986,,7235,,5549,,8659,,5838,,10344,,10038,,13921,,28568.63,,16470.31,
Middle Africa,Flyingfishes nei,Tonnes - live weight,"TLW, Number",987,,1058,E,1834,E,2244,E,2722,E,3364,,3611,,3211,E,2217,E,985.02,,1176.18,
Western Africa,Flyingfishes nei,Tonnes - live weight,"TLW, Number",1804,,1535,,1397.95,,3709,,2229.39,,3429,,3656,,3418,,3238.1,,1291.38,,1925.24,
Eastern Asia,Flyingfishes nei,Tonnes - live weight,"TLW, Number",84,,91,,141,,181,,129,,154,,192,,124,,189,,49.27,,204.07,
South America,Fortune jack,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,8,,39,,9.6,,6.9,
Eastern Europe,Garfish,Tonnes - live weight,"TLW, Number",33,,30,,31,,41,,28,,71,,77,,125,,57,,120.16,,79.23,
Western Asia,Garfish,Tonnes - live weight,"TLW, Number",661,,317,,232,,206,,334,,324,,270,,254,,266,,185.41,,367.04,
Southern Europe,Garfish,Tonnes - live weight,"TLW, Number",323,,568,,574,,275,,274,,387,,431,,261,,399,,317.81,,233.22,
Western Europe,Garfish,Tonnes - live weight,"TLW, Number",146,,152,,132,,147,,165,,199,,141,,167,,140,,83,,67.06,
Northern Europe,Garfish,Tonnes - live weight,"TLW, Number",419.43,,440,,248,,279,,324.14,,351,,322,,476,,328,,347.83,,344.5,
Northern Africa,Garfish,Tonnes - live weight,"TLW, Number",166,,139,,100,,105,,169,,126,,120,,106,,94,,105,E,100,E
Western Asia,Giant trevally,Tonnes - live weight,"TLW, Number",413,,491,,404,,394,,570,,573,,456,,503,,590,,664,,594.85,
Southern Asia,Giant trevally,Tonnes - live weight,"TLW, Number",10144,,10923,,13738,,14297,,14154,,16317,,20142,,18599,,19374,,20425,,19470,E
Polynesia,Giant trevally,Tonnes - live weight,"TLW, Number",0,...,0,...,0.01,,0,...,0.01,,0.03,,0.11,,0.51,,0,...,0.16,,0.04,
Micronesia,Giant trevally,Tonnes - live weight,"TLW, Number",0.03,,0.04,,0,...,0.01,,0,,0,...,0,...,0,...,0,...,0,...,0.03,
Eastern Africa,Giant trevally,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.06,,0.25,,59.63,,32.4,
Polynesia,Golden trevally,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,
Western Asia,Golden trevally,Tonnes - live weight,"TLW, Number",1187,,1300,,1470,,1694,,1905,,1782,,1578,,1485,E,1657,,1910,,1749.9,
South-Eastern Asia,Goldstripe sardinella,Tonnes - live weight,"TLW, Number",255593,,246175,,161839,,175883,,166670,,148050,,186980,,78922.94,,119004,,142386.73,,152072.17,
Western Asia,Goldstripe sardinella,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Caribbean,Great barracuda,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0.03,,0,...,0,...,0,...,0,...,0,...,33.45,,64.67,
Western Asia,Great barracuda,Tonnes - live weight,"TLW, Number",1262,,969,,948,,1149,,1172,,1197,,1213,,1210,E,1197,,1174.98,,1120.16,
South-Eastern Asia,Great barracuda,Tonnes - live weight,"TLW, Number",7640,,8423,,7162,,11221,,13045,,17389,,26400,,44477,,28942,,11545.62,,12933.26,
Polynesia,Great barracuda,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0.01,,0.01,,0.04,,0.07,,0.07,,0.04,,0.07,
Micronesia,Great barracuda,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0.07,,0,...,0.01,,0,...,0,...,0.05,,0,...
Southern Europe,Great barracuda,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,5.82,
Western Europe,Great barracuda,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,9,,8.4,
Western Africa,Great barracuda,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,566.95,,744,
Eastern Africa,Great barracuda,Tonnes - live weight,"TLW, Number",0,...,0,...,0.88,,0.61,,1.28,,2.96,,6.43,,4.11,,5.97,,71.35,,74.04,
Micronesia,Greater amberjack,Tonnes - live weight,"TLW, Number",0.36,,0.17,,0.41,,0.3,,0.45,,0.04,,0.28,,0.43,,0.36,,0.47,,0.4,
Polynesia,Greater amberjack,Tonnes - live weight,"TLW, Number",0.17,,0.28,,0.52,,0.09,,0.1,,0.12,,0.17,,0.09,,0.04,,0,...,0,
Western Europe,Greater amberjack,Tonnes - live weight,"TLW, Number",3,,6,,2,,4,,5,,3,,50,,17,,13,,12,,10.98,
Southern Europe,Greater amberjack,Tonnes - live weight,"TLW, Number",1317,,1196,,1140,,1344,,1601,,1525,,1596,,1690,,1410,,1610.69,,1348.59,
Caribbean,Greater amberjack,Tonnes - live weight,"TLW, Number",0,...,0.05,,0,...,0,...,0,...,0.01,,6.03,,5,,41,,19.79,,20.6,
Northern America,Greater amberjack,Tonnes - live weight,"TLW, Number",687,,682,,578,,600,,669,,575,,564,,543,,435,,376,,357.6,
Western Asia,Greater amberjack,Tonnes - live weight,"TLW, Number",84,,74,,72,,132,,235,,239,E,248,,233,E,235,E,273.02,E,240.81,E
Northern Africa,Greater amberjack,Tonnes - live weight,"TLW, Number",1164,E,868,E,830,E,822,E,655,E,662,E,695.09,E,803.24,E,770,E,801.6,E,1044.22,E
Eastern Asia,Greater amberjack,Tonnes - live weight,"TLW, Number",105,,118,,166,,216,,430,,483,,657,,380,,482,,412.6,,503.73,
Eastern Africa,Greater amberjack,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,41.5,,62.6,
Central America,Green jack,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,469,,29,,52,,52,,0,...,80,,53,,94.47,
South America,Green jack,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,45,,282.72,,279.7,
Eastern Asia,Greenback horse mackerel,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,,0,
Australia and New Zealand,Greenback horse mackerel,Tonnes - live weight,"TLW, Number",291,,48,,39,,0,,0,,0,,0,,3535.84,,4370.75,,4218.72,,7529.33,
Northern Europe,Greenback horse mackerel,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Eastern Europe,Greenback horse mackerel,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,21977,,14515,,0,,0,,0,,0,,0,...
Western Asia,Greenback horse mackerel,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Others,Greenback horse mackerel,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Western Africa,Guachanche barracuda,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,6383.99,,7370,E
South America,Guachanche barracuda,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,107.06,,42.09,
Southern Europe,Guinean amberjack,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4.4,
Western Africa,Guinean barracuda,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,6.25,,0,
Northern America,Gulf butterfishes nei,Tonnes - live weight,"TLW, Number",121,,503,,513,,169,,207,,220,,320,,234,,114,,23,,18,
South America,Gulf butterfishes nei,Tonnes - live weight,"TLW, Number",500,E,0,...,0,...,0,...,0,...,0,...,0,...,5705,,2840,,6597.34,,1207.71,
Eastern Asia,Gulf butterfishes nei,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Northern America,Gulf menhaden,Tonnes - live weight,"TLW, Number",438674,,623438,,578751,,440707,,385022,,539471,,618845,,461353,,529052,,487468,,412322,
Western Africa,Halfbeaks nei,Tonnes - live weight,"TLW, Number",1654,,2393,,2204.49,,3336,,2552.05,,700,,657,,625,,895.3,,610.16,,1793,
Middle Africa,Halfbeaks nei,Tonnes - live weight,"TLW, Number",290,,250,E,200,E,150,E,100,E,66,,54,,80,E,120,E,161.21,,237.44,
Eastern Africa,Halfbeaks nei,Tonnes - live weight,"TLW, Number",988,,949,,939,,991,,962,,1490,,1670,,2402,,1470,E,1487,E,583.89,
Central America,Halfbeaks nei,Tonnes - live weight,"TLW, Number",62,,31,,85,,12,,55,,4,E,1.32,,0.92,,1.16,,3.4,,0.68,
Caribbean,Halfbeaks nei,Tonnes - live weight,"TLW, Number",1,,1,,2,,2,,2,,2,E,2,E,2,E,2,E,2,E,2,E
Western Asia,Halfbeaks nei,Tonnes - live weight,"TLW, Number",132,,120,,123,,186,,183,,172,E,170,E,172,E,1257,,150,E,133,E
